file,language,start_ms,end_ms,dur_ms
GH003,Twi,355376,357223,1847
GH003,Twi,357720,360413,2693
GH003,English,360413,361055,642
GH003,Twi,361055,366756,5701
GH003,English,366756,367590,834
GH003,Twi,367590,384445,16855
GH003,English,384445,386483,2038
GH003,Twi,386483,388499,2016
GH003,English,388499,388943,444
GH003,Twi,388943,389559,616
GH003,English,389559,389931,372
GH003,Twi,389931,394609,4678
GH003,English,394609,399494,4885
GH003,Twi,399494,400333,839
GH003,English,400333,402374,2041
GH003,Twi,402374,407656,5282
GH003,Twi,408172,412950,4778
GH004,Twi,50,1074,1024
GH004,Twi,1632,2703,1071
GH004,Twi,3330,6887,3557
GH004,Twi,7311,7697,386
GH004,Twi,8317,10257,1940
GH004,Twi,10993,14388,3395
GH004,Twi,14899,16160,1261
GH004,Twi,16703,28075,11372
GH004,English,28440,30188,1748
GH004,Twi,30188,40562,10374
GH004,English,40562,41793,1231
GH004,Twi,41793,43401,1608
GH004,Twi,43903,45431,1528
GH004,English,45431,46071,640
GH004,Twi,46446,51438,4992
GH004,Twi,51923,54183,2260
GH004,Twi,54628,61711,7083
GH004,English,61711,61970,259
GH004,Twi,61970,64022,2052
GH004,Twi,64812,70960,6148
GH004,Twi,71388,75765,4377
GH004,Twi,76205,79959,3754
GH004,Twi,81220,82293,1073
GH004,Twi,82862,85064,2202
GH004,Twi,85687,86931,1244
GH004,English,86931,88097,1166
GH004,Twi,88097,89144,1047
GH004,Twi,89711,95353,5642
GH004,Twi,95771,99340,3569
GH004,English,99340,99721,381
GH004,Twi,99721,100440,719
GH004,Twi,100963,105992,5029
GH004,English,105992,107848,1856
GH004,Twi,109218,110859,1641
GH004,Twi,111376,112173,797
GH004,Twi,113218,114105,887
GH004,Twi,114587,115206,619
GH004,English,115206,115669,463
GH004,Twi,115669,123109,7440
GH004,Twi,123636,130648,7012
GH004,Twi,131079,140156,9077
GH004,Twi,140830,143087,2257
GH004,English,143087,143726,639
GH004,Twi,143726,144865,1139
GH004,English,144865,145356,491
GH004,Twi,145356,150186,4830
GH004,English,150186,151287,1101
GH004,Twi,151368,151436,68
GH004,English,151436,151983,547
GH004,Twi,151983,158340,6357
GH004,Twi,158829,159324,495
GH004,English,159324,160058,734
GH004,Twi,160058,160449,391
GH004,Twi,161014,161385,371
GH004,English,161385,161785,400
GH004,Twi,161785,163029,1244
GH004,English,163029,163698,669
GH004,Twi,163698,163960,262
GH004,English,163960,167170,3210
GH004,Twi,167170,168602,1432
GH004,English,168602,171298,2696
GH004,Twi,171298,172976,1678
GH004,Twi,173393,178211,4818
GH004,Twi,178679,179508,829
GH004,Twi,179971,180541,570
GH004,Twi,181646,182224,578
GH004,Twi,182763,185555,2792
GH004,English,185555,186963,1408
GH004,Twi,186963,187879,916
GH004,Twi,188735,190107,1372
GH004,English,190107,191198,1091
GH004,Twi,191198,191296,98
GH004,Twi,191756,204536,12780
GH004,Twi,205149,208469,3320
GH004,English,208878,210720,1842
GH004,Twi,210720,219303,8583
GH004,Twi,220124,221526,1402
GH004,English,221526,221943,417
GH004,Twi,221943,222608,665
GH004,English,222608,223236,628
GH004,Twi,223236,228262,5026
GH004,Twi,228682,231783,3101
GH004,English,231783,232666,883
GH004,Twi,232666,234286,1620
GH004,English,234286,234812,526
GH004,Twi,234812,235147,335
GH004,Twi,236073,238799,2726
GH004,Twi,239221,240782,1561
GH004,English,240782,241161,379
GH004,Twi,241161,241652,491
GH004,English,241652,242216,564
GH004,Twi,242216,242950,734
GH005,Twi,50,429,379
GH005,Twi,1026,1376,350
GH005,English,1376,2420,1044
GH005,Twi,2420,2839,419
GH005,Twi,3457,4160,703
GH005,Twi,5088,6118,1030
GH005,English,6118,6927,809
GH005,Twi,6927,6980,53
GH005,English,6980,7950,970
GH005,Twi,7950,8298,348
GH005,Twi,8858,9763,905
GH005,Twi,10523,11603,1080
GH005,Twi,12284,14099,1815
GH005,Twi,14548,16980,2432
GH005,English,16980,17654,674
GH005,Twi,17654,17667,13
GH005,English,17667,17990,323
GH005,Twi,17990,18763,773
GH005,Twi,19305,25342,6037
GH005,English,25342,25996,654
GH005,Twi,25996,26657,661
GH005,Twi,27112,27410,298
GH005,English,27410,28420,1010
GH005,Twi,28420,29330,910
GH005,English,29330,30160,830
GH005,Twi,30160,30318,158
GH005,English,30823,33770,2947
GH005,Twi,33770,35000,1230
GH005,English,35000,36150,1150
