file,start_ms,end_ms,dur_ms
GH009,39087,39824,737
GH009,40651,41589,938
GH009,42509,43396,886
GH009,43806,47248,3442
GH009,48794,49928,1134
GH009,50985,52020,1035
GH009,52817,54331,1513
GH009,55259,60569,5310
GH009,62876,63273,397
GH009,63680,64454,774
GH009,65066,66543,1477
GH009,67558,70038,2480
GH009,71113,73733,2620
GH009,76273,79267,2994
GH009,79830,83940,4110
GH009,84616,87123,2507
GH009,88359,90265,1906
GH009,91827,92806,979
GH009,93668,96101,2432
GH009,96652,99770,3118
GH009,100571,101274,703
GH009,101796,103065,1270
GH009,104743,106012,1269
GH009,106569,107370,800
GH009,107781,108794,1013
GH009,109750,110697,947
GH009,112003,112712,709
GH009,114131,115134,1003
GH009,115548,116500,952
GH009,117179,118103,923
GH009,119293,120108,815
GH009,121474,125428,3955
GH009,126551,128071,1520
GH009,130891,135974,5084
GH009,136615,138293,1678
GH009,139042,141882,2840
GH009,142513,150565,8052
GH009,151024,152128,1105
GH009,152626,158431,5805
GH009,159339,160667,1328
GH009,162332,164405,2073
GH009,166431,168207,1776
GH009,169571,170138,567
GH009,170694,170991,297
GH009,174254,177237,2983
GH009,178473,179899,1426
GH009,181311,183317,2006
GH009,183976,190159,6183
GH009,191495,192138,643
GH009,192682,195222,2539
GH009,195950,208197,12246
GH009,210350,212551,2201
GH009,213368,215524,2156
GH009,216623,217301,678
GH009,218442,219208,766
GH009,219969,228945,8976
GH009,230015,230893,877
GH009,231520,235850,4331
GH009,236481,238182,1701
GH009,239202,240286,1084
GH009,241460,244715,3255
GH009,245331,247205,1874
GH009,248026,256561,8535
GH009,257700,267474,9774
GH009,268459,269177,718
GH009,269620,269985,365
GH009,270729,272753,2024
GH009,274272,275070,798
GH009,275615,278924,3309
GH009,281946,285711,3765
GH009,286172,289219,3047
GH009,291533,292652,1120
GH009,293617,295289,1672
GH009,296186,302104,5918
GH009,303121,305404,2283
GH009,305903,309084,3181
GH009,309507,311995,2488
GH009,313084,314228,1143
GH009,315402,315828,425
GH009,316752,317331,579
GH009,318685,320227,1542
GH009,321105,325353,4247
GH009,329275,330340,1065
GH009,330753,332663,1910
GH009,333684,336686,3003
GH009,337342,341574,4232
GH009,341979,343075,1097
GH009,343588,344286,698
GH009,349397,350115,718
GH009,350783,351837,1055
GH009,354180,355198,1018
GH009,356273,357336,1064
GH009,359453,360809,1356
GH009,364163,365155,992
GH009,367141,368868,1727
GH009,369953,371305,1353
GH009,371965,372602,638
GH009,374166,374682,516
GH009,378778,379326,548
GH009,379979,380388,410
GH009,380953,382000,1046
GH009,385251,386916,1665
GH009,390278,390664,385
GH009,391207,392383,1175
GH009,392958,395257,2298
GH009,397399,399743,2345
GH009,401216,404033,2817
GH009,404441,405245,804
GH009,406251,407639,1388
GH009,408320,409033,714
GH009,409566,411624,2058
GH009,412193,413095,902
GH009,417079,417621,542
GH009,419482,420335,853
GH009,420938,421584,646
GH009,422259,423629,1369
GH009,424543,425382,839
GH009,428787,430999,2212
GH009,432484,434043,1559
GH009,434742,435743,1001
GH009,436645,437568,923
GH009,439517,440641,1124
GH009,441765,443117,1351
GH009,444088,445944,1856
GH009,446739,450518,3780
GH009,451357,453985,2629
GH009,454463,456901,2438
GH009,457814,458211,398
GH009,461988,462639,651
GH009,463155,466477,3322
GH009,468742,472152,3410
GH009,473041,476884,3843
GH009,477352,481033,3681
GH009,481535,487595,6060
GH009,488594,491490,2896
GH009,492075,495006,2932
GH009,496751,500341,3590
GH009,500804,501821,1018
GH009,506853,508747,1894
GH009,509213,511014,1800
GH009,513160,514773,1614
GH009,518174,518703,528
GH009,519123,520699,1576
GH009,525178,527800,2622
GH009,528545,529947,1402
GH009,531304,532270,966
GH009,532955,533578,623
GH009,534093,535480,1387
GH009,537258,538333,1074
GH009,540872,541456,584
GH009,544648,545860,1212
GH009,546432,548564,2132
GH009,549520,553455,3934
GH009,554049,555443,1394
GH009,557148,557852,704
GH009,558294,561573,3279
GH009,562555,568376,5822
GH009,568960,569709,749
GH009,571604,572933,1329
GH009,576395,579873,3478
GH009,581050,590449,9399
GH010,50,2907,2857
GH010,3413,4982,1568
GH010,5665,9748,4082
GH010,10303,10556,253
GH010,11067,14434,3367
GH010,14852,15658,805
GH010,16159,19573,3415
GH010,20100,22405,2305
GH010,22906,26019,3114
GH010,26628,29843,3215
GH010,30452,32281,1829
GH010,33426,37096,3671
GH010,37767,40887,3120
GH010,41683,45249,3566
GH010,45841,47157,1316
GH010,47832,50495,2663
GH010,51493,53908,2414
GH010,54596,57530,2934
GH010,58114,61057,2943
GH010,61700,63543,1843
GH010,64542,67454,2911
GH010,68599,70311,1712
GH010,70841,72827,1986
GH010,73335,76843,3508
GH010,77648,80571,2923
GH010,81068,84749,3681
GH010,85435,88586,3151
GH010,88987,90385,1397
GH010,90909,93023,2114
GH010,93590,96177,2587
GH010,96725,97818,1092
GH010,98388,101409,3020
GH010,101911,103852,1941
GH010,104449,106666,2217
GH010,107156,110422,3266
GH010,110849,112357,1508
GH010,113257,121799,8542
GH010,122230,123001,771
GH010,124462,127050,2588
GH010,128424,131265,2841
GH010,131813,132844,1030
GH010,133783,135604,1821
GH010,136037,138034,1997
GH010,138499,140016,1517
GH010,140879,143899,3021
GH010,144302,147152,2850
GH010,147964,149581,1616
GH010,150068,151788,1720
GH010,152667,155489,2822
GH010,156492,157757,1265
GH010,158286,159122,836
GH010,159555,162752,3197
GH010,163530,165152,1623
GH010,165978,167675,1697
GH010,168092,170140,2048
GH010,170544,173462,2918
GH010,174377,175474,1097
GH010,175901,181581,5680
GH010,182088,184225,2137
GH010,184777,187725,2948
GH010,188178,188823,645
GH010,189693,191116,1424
GH010,191615,194545,2929
GH010,195488,197346,1857
GH010,198197,199350,1153
GH010,200281,200603,322
GH010,201106,204482,3376
GH010,204922,206206,1284
GH010,206947,212404,5458
GH010,212979,215140,2161
GH010,215701,218566,2865
GH010,219107,223569,4461
GH010,224029,227838,3809
GH010,228274,229317,1043
GH010,229867,232265,2398
GH010,232913,234003,1090
GH010,235296,239029,3733
GH010,240267,245669,5402
GH010,246095,249161,3066
GH010,251342,261399,10057
GH010,263489,263746,257
GH010,264266,267225,2959
GH010,268640,273848,5208
GH010,274357,274923,567
GH010,275516,278201,2685
GH010,279390,280607,1217
GH010,281497,283203,1706
GH010,284202,288482,4281
GH010,288922,292668,3746
GH010,293234,296014,2780
GH010,296966,299067,2100
GH010,299539,300928,1389
GH010,301904,306274,4371
GH010,307620,312761,5142
GH010,313566,315399,1833
GH010,317820,318967,1147
GH010,319527,324237,4711
GH010,324727,327896,3169
GH010,328407,329532,1125
GH010,330629,332933,2304
GH010,333410,335802,2392
GH010,337452,340900,3448
GH010,341639,345160,3521
GH010,346391,349066,2675
GH010,350108,353969,3861
GH010,355187,357539,2351
GH010,358554,360334,1780
GH010,361466,366681,5215
GH010,367195,374058,6863
GH010,374649,378161,3512
GH010,378607,381223,2617
GH010,382486,383731,1244
GH010,384160,386898,2738
GH010,387358,389284,1926
GH010,390293,391978,1685
GH010,393406,396564,3158
GH010,397899,404760,6860
GH010,405184,406968,1785
GH010,407478,408017,539
GH010,408431,409327,896
GH010,409955,411465,1511
GH010,412074,413447,1373
GH010,413931,415208,1276
GH010,415634,419347,3713
GH010,419926,422510,2584
GH010,423081,425315,2234
GH010,425763,428295,2532
GH010,428832,429736,904
GH010,430360,434305,3945
GH010,434749,436856,2108
GH010,437478,439600,2122
GH010,440491,445102,4611
GH010,446544,448309,1765
GH010,450755,454900,4145
GH010,455550,462053,6503
GH010,462567,471539,8972
GH010,471990,472333,343
GH010,472951,478479,5528
GH010,479239,481128,1888
GH010,481624,488235,6611
GH010,488721,490211,1489
GH010,490664,492907,2244
GH010,493435,496188,2753
GH010,496616,497218,602
GH010,497762,504947,7185
GH010,505686,506442,755
GH010,507063,509667,2604
GH010,510120,510740,620
GH010,511292,513645,2353
GH010,514332,515774,1442
GH010,517485,517950,465
GH011,50,3325,3275
GH011,3763,8123,4360
GH011,10171,11388,1217
GH011,11864,14090,2226
GH011,16243,21569,5326
GH011,22410,23163,753
GH011,24539,26929,2389
GH011,27759,32820,5061
GH011,35954,40877,4923
GH011,42957,46399,3442
GH011,46950,49689,2739
GH011,50802,51952,1149
GH011,52455,57249,4793
GH011,59199,64793,5594
GH011,66576,77772,11196
GH011,83844,87221,3376
GH011,88271,89873,1602
GH011,91095,95237,4142
GH011,96006,98642,2636
GH011,100836,103350,2513
GH011,103828,105655,1827
GH011,106506,107661,1155
GH011,108126,111242,3116
GH011,111696,115895,4199
GH011,117009,119908,2899
GH011,123499,126534,3035
GH011,127378,129541,2163
GH011,130986,138717,7731
GH011,140789,143073,2284
GH011,143567,147463,3896
GH011,149120,158531,9411
GH011,162006,164740,2735
GH011,166443,170480,4038
GH011,175460,176890,1430
GH011,178130,181968,3838
GH011,183165,185499,2334
GH011,186660,193214,6554
GH011,194021,196327,2306
GH011,197323,199215,1892
GH011,199847,204942,5095
GH011,207435,219705,12270
GH011,220543,221110,566
GH011,222769,226118,3349
GH011,229295,240984,11690
GH011,242527,249150,6623
GH011,249551,250472,921
GH011,252631,253507,876
GH011,253948,254994,1047
GH011,255519,258022,2504
GH011,258642,261049,2408
GH011,261687,262528,841
GH011,264278,269840,5562
GH011,272338,284997,12658
GH011,287201,290312,3111
GH011,291791,293557,1766
GH011,295220,298655,3434
GH011,299664,300785,1120
GH011,301403,303265,1863
GH011,305624,308883,3258
GH011,309556,317220,7665
GH011,317827,318247,420
GH011,320600,322039,1439
GH011,322932,323831,899
GH011,324401,325994,1593
GH011,326444,329318,2873
GH011,329882,330417,535
GH011,331243,332547,1304
GH011,334067,336492,2425
GH011,336918,337974,1057
GH011,338623,340098,1475
GH011,340711,342925,2214
GH011,345480,350851,5371
GH011,351394,355116,3722
GH011,355639,356339,699
GH011,356912,357822,910
GH011,359069,363395,4327
GH011,363964,365916,1953
GH011,366509,369101,2592
GH011,369735,371276,1541
GH011,371858,373420,1561
GH011,375363,376531,1168
GH011,377695,379848,2154
GH011,380679,382910,2231
GH011,383620,383993,373
GH011,384826,386271,1445
GH011,387008,389302,2293
GH011,390012,397480,7468
GH011,400603,402342,1739
GH011,404571,405115,544
GH011,406568,407576,1008
GH011,408310,415109,6799
GH011,415511,417007,1496
GH011,417414,421875,4460
GH011,422316,425405,3090
GH011,425916,427107,1191
GH011,428488,432288,3799
GH011,433199,433632,434
GH011,435511,439186,3675
GH011,439832,442487,2655
GH011,443115,444188,1073
GH011,444624,445710,1085
GH011,446152,447036,884
GH011,447711,449374,1663
GH011,452698,453141,442
GH011,453576,455827,2250
GH011,457009,458868,1859
GH011,461321,464950,3629
