file,ann_id,start_ms,end_ms,dur_ms,label
GH008,a223,555915,556590,675,English
GH008,a224,557360,558569,1209,English
GH008,a225,559630,562530,2900,English
GH008,a226,564040,566624,2584,English
GH008,a227,566992,581590,14598,English
GH008,a228,585220,587990,2770,English
GH008,a229,589441,590430,989,English
GH008,a230,591244,592010,766,English
GH008,a231,593105,599838,6733,English
GH009,a120,33,862,829,English
GH009,a121,1960,2350,390,English
GH009,a122,3740,4239,499,English
GH009,a123,22303,22972,669,English
GH009,a124,28191,34707,6516,English
GH009,a125,36656,41925,5269,English
GH009,a126,42384,66540,24156,English
GH009,a127,75919,79013,3094,English
GH009,a128,93490,95130,1640,English
GH009,a129,97460,97970,510,English
GH009,a130,102370,103460,1090,English
GH009,a131,107586,113000,5414,English
GH009,a132,114340,114960,620,English
GH009,a133,122931,128480,5549,English
GH009,a134,137090,137800,710,English
GH009,a135,181500,182180,680,English
GH009,a136,184367,184946,579,English
GH009,a137,222237,223280,1043,English
GH009,a138,225070,226036,966,English
GH009,a139,226092,227490,1398,English
GH009,a140,228128,229029,901,English
GH009,a141,229801,230491,690,English
GH009,a142,231762,232550,788,English
GH009,a143,234430,235220,790,English
GH009,a144,237878,238577,699,English
GH009,a145,242083,247399,5316,English
GH009,a146,255202,256491,1289,English
GH009,a147,263551,264461,910,English
GH009,a148,267090,267630,540,English
GH009,a149,268391,270890,2499,English
GH009,a150,286004,286670,666,English
GH009,a151,306700,307100,400,English
GH009,a152,330669,332803,2134,English
GH009,a153,359310,359690,380,English
GH009,a154,391100,391560,460,English
GH009,a155,397500,398040,540,English
GH009,a156,398439,398880,441,English
GH009,a157,399171,399877,706,English
GH009,a158,404096,404930,834,English
GH009,a159,440177,440905,728,English
GH009,a160,441667,454385,12718,English
GH009,a161,457472,458392,920,English
GH009,a162,544550,553640,9090,English
GH009,a163,568030,568690,660,English
GH009,a164,575912,576870,958,English
GH010,a137,0,8049,8049,English
GH010,a138,10078,17220,7142,English
GH010,a139,19867,21752,1885,English
GH010,a140,24364,27507,3143,English
