file,start_ms,end_ms,dur_ms
GH008,48019,48566,547
GH008,49033,49964,931
GH008,53175,54561,1386
GH008,56145,57667,1522
GH008,58184,58794,610
GH008,59557,61539,1982
GH008,63152,64042,890
GH008,64042,64591,549
GH008,66837,67458,621
GH008,69016,70354,1338
GH008,71219,71914,695
GH008,74325,74650,324
GH008,76019,76399,380
GH008,78623,80584,1961
GH008,84045,85295,1251
GH008,87073,88140,1067
GH008,89711,90880,1169
GH008,91963,92612,648
GH008,94473,95817,1344
GH008,97808,98776,968
GH008,99612,100104,492
GH008,101646,102345,699
GH008,103178,103943,765
GH008,105831,106958,1127
GH008,107637,108034,397
GH008,111333,112436,1103
GH008,113773,114159,386
GH008,114176,114797,621
GH008,116228,117274,1045
GH008,120906,121286,380
GH008,123897,126067,2170
GH008,126459,128363,1903
GH008,129604,129974,369
GH008,131630,132330,700
GH008,133330,134256,926
GH008,134871,135187,316
GH008,140203,141394,1192
GH008,141394,141771,377
GH008,144896,146414,1517
GH008,148418,149131,713
GH008,149977,150290,313
GH008,151384,152429,1044
GH008,157029,158320,1291
GH008,169268,169682,415
GH008,173357,173891,534
GH008,175965,176854,889
GH008,178024,178866,842
GH008,183467,184232,765
GH008,188668,193283,4616
GH008,199888,200259,371
GH008,203765,209057,5292
GH008,209105,209735,630
GH008,210048,210381,333
GH008,210991,213098,2107
GH008,218047,218547,500
GH008,218741,220779,2038
GH008,222844,223852,1008
GH008,223986,224897,912
GH008,226249,227403,1154
GH008,230519,231192,673
GH008,232273,232839,565
GH008,233754,234324,570
GH008,235400,237057,1657
GH008,238865,239421,556
GH008,241649,242126,477
GH008,243100,244751,1650
GH008,249680,251208,1528
GH008,252978,254632,1654
GH008,256047,256752,705
GH008,258646,259513,867
GH008,261445,262188,743
GH008,272451,273183,732
GH008,276094,277498,1405
GH008,280239,281586,1347
GH008,281604,282076,472
GH008,286446,286925,479
GH008,288986,290281,1296
GH008,291125,291903,777
GH008,292018,293332,1315
GH008,294406,294810,404
GH008,301082,301914,831
GH008,305959,306399,441
GH008,306969,307370,401
GH008,311834,312156,322
GH008,314886,315456,570
GH008,320943,321855,912
GH008,323161,324339,1179
GH008,325707,327018,1310
GH008,335486,335894,408
GH008,336718,338422,1704
GH008,341137,341487,350
GH008,343059,343591,532
GH008,344262,344664,402
GH008,354418,355173,755
GH008,355180,356719,1538
GH008,358011,358540,529
GH008,359917,360707,790
GH008,361305,363465,2160
GH008,363488,364235,746
GH008,367753,369600,1848
GH008,370855,371757,902
GH008,374957,377029,2072
GH008,378247,378995,748
GH008,383436,384446,1010
GH008,390781,391791,1010
GH008,393190,394452,1262
GH008,397141,397555,414
GH008,398353,398779,426
GH008,400494,400865,372
GH008,405496,405803,307
GH008,408102,408418,316
GH008,412844,413812,968
GH008,415592,416316,724
GH008,416902,417358,455
GH008,418999,419572,573
GH008,419842,420432,590
GH008,420433,421444,1011
GH008,422997,423341,345
GH008,425311,426140,829
GH008,432978,433279,301
GH008,438307,438685,378
GH008,440477,440934,456
GH008,441890,442258,368
GH008,443227,445617,2391
GH008,447049,448314,1265
GH008,449259,451103,1844
GH008,454598,457216,2618
GH008,458924,460659,1736
GH008,461375,461976,600
GH008,462403,463963,1560
GH008,465432,465783,351
GH008,467254,467596,342
GH008,467596,468332,736
GH008,477449,477818,370
GH008,480948,481282,334
GH008,482200,482763,563
GH008,484258,486895,2637
GH008,489160,491280,2120
GH008,492068,492397,329
GH008,493179,494142,963
GH008,505939,507853,1914
GH008,507859,511341,3482
GH008,513005,513656,651
GH008,515382,516016,634
GH008,516848,517848,1000
GH008,517850,518567,718
GH008,519801,520507,706
GH008,521072,522563,1492
GH008,523460,523844,384
GH008,525128,525715,587
GH008,530424,531282,858
GH008,534886,535910,1024
GH008,539118,539873,754
GH008,544203,546104,1901
GH008,547378,549850,2472
GH008,549885,551280,1395
GH008,553057,553612,555
GH008,554799,555980,1180
GH008,558335,559710,1374
GH008,562004,564095,2090
GH008,566377,567222,845
GH008,572322,572659,337
GH008,575446,575796,350
GH008,586612,586937,326
GH009,1593,1896,303
GH009,10020,10810,790
GH009,12294,14234,1940
GH009,18694,19188,494
GH009,20078,22052,1974
GH009,22686,23532,847
GH009,24029,24347,319
GH009,25043,26122,1079
GH009,27702,28161,458
GH009,30334,31478,1144
GH009,33908,34246,337
GH009,35100,36308,1208
GH009,36327,36729,403
GH009,38616,39037,421
GH009,39874,40601,727
GH009,41639,42459,820
GH009,43446,43756,311
GH009,47298,48744,1446
GH009,49978,50935,957
GH009,52070,52767,697
GH009,54381,54742,362
GH009,54742,55209,467
GH009,60619,62826,2207
GH009,63323,63630,307
GH009,64504,65016,512
GH009,66593,67508,915
GH009,70088,71063,975
GH009,73783,76223,2441
GH009,79317,79780,463
GH009,83990,84566,576
GH009,87173,88309,1135
GH009,90315,91777,1462
GH009,92856,93618,763
GH009,96151,96602,452
GH009,99820,100521,702
GH009,101324,101746,421
GH009,103115,104693,1578
GH009,106062,106519,457
GH009,107420,107731,312
GH009,108844,109700,856
GH009,110747,111953,1206
GH009,112762,114081,1319
GH009,115184,115498,314
GH009,116550,117129,579
GH009,118153,119243,1090
GH009,120158,121424,1266
GH009,125478,126501,1023
GH009,128121,130165,2043
GH009,130192,130841,649
GH009,136024,136565,541
GH009,138343,138992,649
GH009,141932,142463,531
GH009,150615,150974,358
GH009,152178,152576,398
GH009,158481,159289,808
GH009,160717,162282,1565
GH009,164455,166381,1926
GH009,168257,169521,1264
GH009,170188,170644,455
GH009,171041,172493,1453
GH009,172827,173575,747
GH009,173844,174204,360
GH009,177287,178423,1136
GH009,179949,181261,1312
GH009,183367,183926,559
GH009,190209,191445,1236
GH009,192188,192632,444
GH009,195272,195900,629
GH009,208247,208868,622
GH009,208868,210300,1432
GH009,212601,213318,717
GH009,215574,216573,999
GH009,217351,218392,1041
GH009,219258,219919,662
GH009,228995,229965,970
GH009,230943,231470,527
GH009,235900,236431,531
GH009,238232,239152,920
GH009,240336,241410,1074
GH009,244765,245281,516
GH009,247255,247976,721
GH009,256611,257650,1039
GH009,267524,268409,885
GH009,269227,269570,343
GH009,270035,270679,643
GH009,272803,274222,1419
GH009,275120,275565,445
GH009,278974,281896,2922
GH009,285761,286122,361
GH009,289269,290479,1210
