file,gesture_id,gesture_time_ms,gesture_type,pitch_time_ms,pitch_hz,time_diff_ms
GH005,a10,25443,beat,25424,237.92338516942598,19
GH005,a11,28901,beat,28864,294.41560242347316,37
GH005,a12,30528,iconic,30294,176.0722513817791,234
GH005,a13,32377,beat,32354,204.22480016477428,23
GH005,a14,34108,beat,34134,211.82620658589875,-26
GH005,a15,42152,iconic,41874,139.40416685996306,278
GH005,a16,44947,beat,44714,141.43055468587488,233
GH005,a17,51209,beat,51354,291.07764196718597,-145
GH005,a18,52393,iconic,52384,187.50079805900992,9
GH005,a19,61029,iconic,61154,234.261145362373,-125
GH005,a20,68980,beat,68944,212.4262358543372,36
GH005,a21,70028,iconic,70034,163.66055374393508,-6
GH005,a22,74015,beat,74014,290.001446293597,1
GH005,a23,77491,beat,77524,160.95500917797102,-33
GH005,a24,80175,beat,80274,252.02427910674228,-99
GH005,a25,102005,iconic,102244,284.6085466156744,-239
GH005,a26,105839,beat,105854,181.36540292917385,-15
GH005,a27,109254,beat,109204,154.65201006784244,50
GH005,a28,112013,beat,111954,137.59259400630697,59
GH005,a29,115377,iconic,115404,197.0750477866898,-27
GH005,a30,119034,beat,118914,195.79210131446322,120
GH005,a31,121910,beat,121854,193.89495714174103,56
GH006,a1,1105,beat,1064,230.00388388237508,41
GH006,a2,8558,beat,8644,169.90182609447137,-86
GH006,a3,13494,beat,13684,210.00122682809308,-190
GH006,a4,18505,beat,18154,211.08997750317528,351
GH006,a5,36032,beat,35994,290.89469159818043,38
GH006,a6,39998,beat,40194,231.64100087250222,-196
GH006,a7,45001,beat,45014,229.22374221424562,-13
GH006,a8,49795,iconic,49714,246.29676248524194,81
GH006,a9,50696,beat,50664,217.59304921750484,32
GH006,a10,55490,beat,55554,197.21925671491726,-64
GH006,a11,60731,iconic,60494,136.57602048766785,237
GH006,a12,62674,beat,62814,216.82385314021832,-140
GH006,a13,68437,iconic,68524,160.47774405660294,-87
GH006,a14,71566,beat,71614,270.90168411986076,-48
GH006,a15,76031,iconic,76014,155.89469817664374,17
GH006,a16,87029,beat,86944,204.7677396505109,85
GH006,a17,94554,iconic,94544,166.43212297278,10
GH006,a18,96370,iconic,96384,227.73744341107783,-14
GH006,a19,100861,beat,100614,204.5903084056114,247
GH006,a20,104452,beat,104714,235.83965681666388,-262
GH006,a21,106562,beat,106544,202.1484527998638,18
GH006,a22,113454,iconic,113274,245.45763286199974,180
GH006,a23,115530,beat,115534,230.20813596746424,-4
GH006,a24,122280,deictic,122294,127.5674041867246,-14
GH006,a25,136522,beat,136304,171.89985015711605,218
GH006,a26,138781,iconic,138814,236.85878464863404,-33
GH006,a27,141815,iconic,141844,297.58914902170676,-29
GH006,a28,148560,beat,148574,128.70044910932103,-14
GH006,a29,153901,beat,154154,227.57006350969334,-253
GH006,a30,160950,deictic,160964,273.1070017958193,-14
GH006,a31,167827,beat,167854,172.72493495145173,-27
GH006,a32,171109,beat,171104,238.53869232965607,5
GH006,a33,173580,iconic,173284,190.7080095806549,296
GH007,a1,2496,iconic,2511,173.4596350058147,-15
GH007,a2,5390,beat,5381,164.00889179489684,9
GH007,a3,7485,beat,7501,221.2424960940709,-16
GH007,a4,9070,beat,9061,199.11978027391228,9
GH007,a5,10893,beat,10791,275.1834418906194,102
GH007,a6,13182,beat,13311,196.5297841731096,-129
GH007,a7,14290,beat,14231,213.37260328420962,59
GH007,a8,15396,beat,15391,200.0372675028635,5
GH007,a9,21044,beat,21171,234.3485673408343,-127
GH007,a10,22860,beat,22861,216.42456754522007,-1
GH007,a11,24738,beat,24721,226.17681563131313,17
GH007,a12,36916,beat,36971,206.43639458094023,-55
GH007,a13,38830,beat,38861,258.25325173439535,-31
GH007,a14,41971,beat,42011,218.93075620777046,-40
GH007,a15,45143,iconic,45081,185.9030868708152,62
GH007,a16,49884,iconic,49931,298.8788908775445,-47
GH007,a17,56477,iconic,56501,224.77361029255886,-24
GH007,a18,59569,beat,59511,222.94006554739346,58
GH007,a19,62117,beat,62171,193.34302871204434,-54
GH007,a20,65856,iconic,65911,188.74987515063512,-55
GH007,a21,67038,beat,67061,186.77612320411197,-23
GH007,a22,72871,iconic,72891,199.7769828388388,-20
GH007,a23,76860,beat,76811,101.46206684567053,49
GH007,a24,78309,beat,78351,183.64916175656694,-42
GH007,a25,79132,deictic,79111,174.24590886024964,21
GH007,a26,81490,beat,81481,229.7350534097057,9
GH007,a27,84324,deictic,84341,178.68076423520802,-17
GH007,a28,92090,iconic,92091,297.9156767478922,-1
GH007,a29,94120,beat,94061,196.34864430027483,59
GH007,a30,97596,iconic,97371,171.24511076786507,225
GH007,a31,100730,deictic,100901,299.9287094739456,-171
GH007,a32,122039,beat,121981,144.7254159697778,58
GH007,a33,124275,iconic,124511,205.91296872805944,-236
GH007,a34,125990,deictic,126041,189.74165190679543,-51
GH007,a35,127977,beat,128101,200.45640803116348,-124
GH007,a36,130016,beat,129961,169.8874529507381,55
GH007,a37,133644,beat,133561,213.71254883848485,83
GH007,a38,135728,beat,135951,252.64592061410244,-223
GH007,a39,137850,iconic,137731,151.38847537264783,119
GH007,a40,141000,beat,141001,193.5477419698384,-1
GH007,a41,150955,iconic,150771,224.22600817825892,184
GH007,a42,151775,beat,151831,205.44214298294298,-56
GH007,a43,155039,iconic,154971,261.3405530670006,68
