file,switch_time_ms,direction
GH003,361055,English_to_Twi
GH003,366756,Twi_to_English
GH003,367590,English_to_Twi
GH003,384445,Twi_to_English
GH003,386483,English_to_Twi
GH003,388499,Twi_to_English
GH003,388943,English_to_Twi
GH003,389559,Twi_to_English
GH003,389931,English_to_Twi
GH003,394609,Twi_to_English
GH003,399494,English_to_Twi
GH003,400333,Twi_to_English
GH003,402374,English_to_Twi
GH004,28440,Twi_to_English
GH004,30188,English_to_Twi
GH004,40562,Twi_to_English
GH004,41793,English_to_Twi
GH004,45431,Twi_to_English
GH004,46446,English_to_Twi
GH004,61711,Twi_to_English
GH004,61970,English_to_Twi
GH004,86931,Twi_to_English
GH004,88097,English_to_Twi
GH004,99340,Twi_to_English
GH004,99721,English_to_Twi
GH004,105992,Twi_to_English
GH004,109218,English_to_Twi
GH004,115206,Twi_to_English
GH004,115669,English_to_Twi
GH004,143087,Twi_to_English
GH004,143726,English_to_Twi
GH004,144865,Twi_to_English
GH004,145356,English_to_Twi
GH004,150186,Twi_to_English
GH004,151368,English_to_Twi
GH004,151436,Twi_to_English
GH004,151983,English_to_Twi
GH004,159324,Twi_to_English
GH004,160058,English_to_Twi
GH004,161385,Twi_to_English
GH004,161785,English_to_Twi
GH004,163029,Twi_to_English
GH004,163698,English_to_Twi
GH004,163960,Twi_to_English
GH004,167170,English_to_Twi
GH004,168602,Twi_to_English
GH004,171298,English_to_Twi
GH004,185555,Twi_to_English
GH004,186963,English_to_Twi
GH004,190107,Twi_to_English
GH004,191198,English_to_Twi
GH004,208878,Twi_to_English
GH004,210720,English_to_Twi
GH004,221526,Twi_to_English
GH004,221943,English_to_Twi
GH004,222608,Twi_to_English
GH004,223236,English_to_Twi
GH004,231783,Twi_to_English
GH004,232666,English_to_Twi
GH004,234286,Twi_to_English
GH004,234812,English_to_Twi
GH004,240782,Twi_to_English
GH004,241161,English_to_Twi
GH004,241652,Twi_to_English
GH004,242216,English_to_Twi
GH005,1376,Twi_to_English
GH005,2420,English_to_Twi
GH005,6118,Twi_to_English
GH005,6927,English_to_Twi
GH005,6980,Twi_to_English
GH005,7950,English_to_Twi
GH005,16980,Twi_to_English
GH005,17654,English_to_Twi
GH005,17667,Twi_to_English
GH005,17990,English_to_Twi
GH005,25342,Twi_to_English
GH005,25996,English_to_Twi
GH005,27410,Twi_to_English
GH005,28420,English_to_Twi
GH005,29330,Twi_to_English
GH005,30160,English_to_Twi
GH005,30823,Twi_to_English
GH005,33770,English_to_Twi
GH005,35000,Twi_to_English
GH005,36150,English_to_Twi
GH005,38720,Twi_to_English
GH005,39237,English_to_Twi
GH005,52660,Twi_to_English
GH005,60393,English_to_Twi
GH005,64010,Twi_to_English
GH005,66860,English_to_Twi
GH005,67348,Twi_to_English
GH005,67882,English_to_Twi
GH005,75670,Twi_to_English
GH005,76366,English_to_Twi
GH005,76793,Twi_to_English
GH005,77738,English_to_Twi
GH005,84761,Twi_to_English
GH005,85661,English_to_Twi
GH005,95559,Twi_to_English
GH005,97013,English_to_Twi
GH005,97055,Twi_to_English
GH005,98350,English_to_Twi
GH005,100050,Twi_to_English
GH005,100410,English_to_Twi
GH005,104730,Twi_to_English
GH005,105080,English_to_Twi
GH005,108630,Twi_to_English
GH005,109288,English_to_Twi
GH005,111282,Twi_to_English
GH005,112457,English_to_Twi
GH006,1773,Twi_to_English
GH006,13115,English_to_Twi
GH006,34480,Twi_to_English
GH006,35571,English_to_Twi
GH006,37452,Twi_to_English
GH006,37990,English_to_Twi
GH006,43486,Twi_to_English
GH006,43940,English_to_Twi
GH006,48212,Twi_to_English
GH006,48730,English_to_Twi
GH006,49835,Twi_to_English
GH006,50346,English_to_Twi
GH006,56277,Twi_to_English
GH006,56792,English_to_Twi
GH006,57860,Twi_to_English
GH006,60305,English_to_Twi
GH006,61462,Twi_to_English
GH006,64620,English_to_Twi
GH006,65690,Twi_to_English
GH006,66654,English_to_Twi
GH006,66790,Twi_to_English
GH006,67100,English_to_Twi
GH006,69946,Twi_to_English
GH006,71475,English_to_Twi
GH006,71552,Twi_to_English
GH006,72496,English_to_Twi
GH006,76353,Twi_to_English
GH006,86251,English_to_Twi
GH006,91511,Twi_to_English
GH006,94086,English_to_Twi
GH006,96732,Twi_to_English
GH006,97526,English_to_Twi
GH006,101491,Twi_to_English
GH006,102258,English_to_Twi
GH006,105198,Twi_to_English
GH006,106447,English_to_Twi
GH006,107902,Twi_to_English
GH006,108511,English_to_Twi
GH006,113577,Twi_to_English
GH006,118543,English_to_Twi
GH006,121399,Twi_to_English
GH006,122335,English_to_Twi
GH006,123614,Twi_to_English
GH006,124125,English_to_Twi
GH006,124199,Twi_to_English
GH006,125433,English_to_Twi
GH006,126976,Twi_to_English
GH006,127815,English_to_Twi
GH006,128120,Twi_to_English
GH006,128623,English_to_Twi
GH006,132326,Twi_to_English
GH006,132811,English_to_Twi
GH006,135589,Twi_to_English
GH006,136433,English_to_Twi
GH006,140668,Twi_to_English
GH006,141253,English_to_Twi
GH006,142362,Twi_to_English
GH006,143047,English_to_Twi
GH006,145858,Twi_to_English
GH006,146248,English_to_Twi
GH006,147767,Twi_to_English
GH006,148440,English_to_Twi
GH006,151677,Twi_to_English
GH006,152236,English_to_Twi
GH006,156106,Twi_to_English
GH006,157000,English_to_Twi
GH006,158692,Twi_to_English
GH006,159066,English_to_Twi
GH006,160186,Twi_to_English
GH006,161314,English_to_Twi
GH006,165440,Twi_to_English
GH006,167054,English_to_Twi
GH006,167315,Twi_to_English
GH006,168423,English_to_Twi
GH006,168795,Twi_to_English
GH006,169425,English_to_Twi
GH006,169735,Twi_to_English
GH006,170763,English_to_Twi
GH007,15260,Twi_to_English
GH007,15624,English_to_Twi
GH007,16998,Twi_to_English
GH007,17673,English_to_Twi
GH007,19010,Twi_to_English
GH007,19500,English_to_Twi
GH007,20077,Twi_to_English
GH007,21207,English_to_Twi
GH007,38519,Twi_to_English
GH007,41530,English_to_Twi
GH007,56658,Twi_to_English
GH007,58600,English_to_Twi
GH007,60600,Twi_to_English
GH007,61332,English_to_Twi
GH007,62526,Twi_to_English
GH007,62970,English_to_Twi
GH007,66020,Twi_to_English
GH007,66730,English_to_Twi
GH007,70949,Twi_to_English
GH007,71426,English_to_Twi
GH007,73137,Twi_to_English
GH007,73767,English_to_Twi
GH007,93979,Twi_to_English
GH007,94320,English_to_Twi
GH007,95928,Twi_to_English
GH007,98037,English_to_Twi
GH007,108070,Twi_to_English
GH007,108819,English_to_Twi
GH007,110250,Twi_to_English
GH007,110510,English_to_Twi
GH007,110910,Twi_to_English
GH007,112028,English_to_Twi
GH007,119774,Twi_to_English
GH007,121440,English_to_Twi
GH007,123099,Twi_to_English
GH007,128109,English_to_Twi
GH007,134175,Twi_to_English
GH007,134844,English_to_Twi
GH007,136130,Twi_to_English
GH007,137570,English_to_Twi
GH007,140190,Twi_to_English
GH007,140490,English_to_Twi
GH007,142065,Twi_to_English
GH007,142534,English_to_Twi
GH007,170673,Twi_to_English
GH007,172335,English_to_Twi
GH007,180913,Twi_to_English
GH007,181770,English_to_Twi
GH007,207682,Twi_to_English
GH007,208947,English_to_Twi
GH007,219067,Twi_to_English
GH007,220391,English_to_Twi
GH007,229460,Twi_to_English
GH007,230194,English_to_Twi
GH007,238111,Twi_to_English
GH007,239920,English_to_Twi
GH007,251329,Twi_to_English
GH007,254500,English_to_Twi
GH007,255238,Twi_to_English
GH007,255510,English_to_Twi
GH007,256178,Twi_to_English
GH007,257200,English_to_Twi
GH007,263081,Twi_to_English
GH007,264040,English_to_Twi
GH007,264400,Twi_to_English
GH007,266135,English_to_Twi
GH007,279890,Twi_to_English
GH007,281187,English_to_Twi
GH008,8160,Twi_to_English
GH008,15077,English_to_Twi
GH008,19998,Twi_to_English
GH008,23951,English_to_Twi
GH008,27263,Twi_to_English
GH008,37540,English_to_Twi
GH008,40930,Twi_to_English
GH008,41960,English_to_Twi
GH008,48292,Twi_to_English
GH008,50014,English_to_Twi
GH008,67378,Twi_to_English
GH008,67940,English_to_Twi
GH008,76783,Twi_to_English
GH008,77220,English_to_Twi
GH008,77625,Twi_to_English
GH008,80634,English_to_Twi
GH008,82950,Twi_to_English
GH008,83521,English_to_Twi
GH008,85320,Twi_to_English
GH008,85700,English_to_Twi
GH008,85984,Twi_to_English
GH008,88190,English_to_Twi
GH008,92700,Twi_to_English
GH008,96516,English_to_Twi
GH008,99022,Twi_to_English
GH008,100154,English_to_Twi
GH008,100945,Twi_to_English
GH008,102395,English_to_Twi
GH008,102600,Twi_to_English
GH008,103993,English_to_Twi
GH008,104478,Twi_to_English
GH008,105250,English_to_Twi
GH008,108003,Twi_to_English
GH008,108640,English_to_Twi
GH008,118370,Twi_to_English
GH008,118760,English_to_Twi
GH008,121373,Twi_to_English
GH008,136950,English_to_Twi
GH008,143330,Twi_to_English
GH008,144190,English_to_Twi
GH008,146722,Twi_to_English
GH008,148160,English_to_Twi
GH008,149115,Twi_to_English
GH008,149732,English_to_Twi
GH008,153270,Twi_to_English
GH008,153980,English_to_Twi
GH008,154101,Twi_to_English
GH008,155250,English_to_Twi
GH008,156007,Twi_to_English
GH008,158370,English_to_Twi
GH008,159590,Twi_to_English
GH008,159990,English_to_Twi
GH008,162329,Twi_to_English
GH008,166300,English_to_Twi
GH008,173806,Twi_to_English
GH008,174731,English_to_Twi
GH008,175144,Twi_to_English
GH008,176904,English_to_Twi
GH008,177221,Twi_to_English
GH008,178916,English_to_Twi
GH008,179250,Twi_to_English
GH008,179960,English_to_Twi
GH008,180166,Twi_to_English
GH008,181260,English_to_Twi
GH008,184968,Twi_to_English
GH008,210431,English_to_Twi
GH008,218170,Twi_to_English
GH008,220829,English_to_Twi
GH008,240439,Twi_to_English
GH008,241393,English_to_Twi
GH008,250885,Twi_to_English
GH008,282126,English_to_Twi
GH008,289694,Twi_to_English
GH008,293382,English_to_Twi
GH008,306280,Twi_to_English
GH008,307420,English_to_Twi
GH008,313921,Twi_to_English
GH008,314500,English_to_Twi
GH008,316190,Twi_to_English
GH008,316819,English_to_Twi
GH008,322334,Twi_to_English
GH008,324389,English_to_Twi
GH008,327448,Twi_to_English
GH008,328361,English_to_Twi
GH008,331766,Twi_to_English
GH008,332813,English_to_Twi
GH008,335585,Twi_to_English
GH008,341570,English_to_Twi
GH008,343246,Twi_to_English
GH008,344714,English_to_Twi
GH008,353440,Twi_to_English
GH008,365760,English_to_Twi
GH008,379845,Twi_to_English
GH008,384496,English_to_Twi
GH008,388929,Twi_to_English
GH008,391841,English_to_Twi
GH008,391898,Twi_to_English
GH008,394502,English_to_Twi
GH008,394659,Twi_to_English
GH008,397897,English_to_Twi
GH008,402229,Twi_to_English
GH008,405853,English_to_Twi
GH008,411869,Twi_to_English
GH008,413862,English_to_Twi
GH008,426280,Twi_to_English
GH008,427558,English_to_Twi
GH008,438354,Twi_to_English
GH008,445667,English_to_Twi
GH008,445837,Twi_to_English
GH008,448364,English_to_Twi
GH008,448506,Twi_to_English
GH008,451153,English_to_Twi
GH008,452347,Twi_to_English
GH008,452963,English_to_Twi
GH008,453557,Twi_to_English
GH008,454120,English_to_Twi
GH008,457123,Twi_to_English
GH008,464013,English_to_Twi
GH008,464958,Twi_to_English
GH008,465190,English_to_Twi
GH008,465745,Twi_to_English
GH008,468382,English_to_Twi
GH008,469330,Twi_to_English
GH008,469560,English_to_Twi
GH008,474216,Twi_to_English
GH008,474763,English_to_Twi
GH008,476233,Twi_to_English
GH008,476815,English_to_Twi
GH008,487799,Twi_to_English
GH008,491330,English_to_Twi
GH008,491400,Twi_to_English
GH008,494192,English_to_Twi
GH008,496779,Twi_to_English
GH008,497716,English_to_Twi
GH008,497781,Twi_to_English
GH008,501660,English_to_Twi
GH008,503725,Twi_to_English
GH008,504636,English_to_Twi
GH008,504645,Twi_to_English
GH008,511391,English_to_Twi
GH008,512199,Twi_to_English
GH008,513706,English_to_Twi
GH008,514712,Twi_to_English
GH008,516066,English_to_Twi
GH008,518543,Twi_to_English
GH008,520557,English_to_Twi
GH008,522538,Twi_to_English
GH008,525765,English_to_Twi
GH008,527452,Twi_to_English
GH008,528346,English_to_Twi
GH008,546025,Twi_to_English
GH008,552970,English_to_Twi
GH008,553985,Twi_to_English
GH008,556590,English_to_Twi
GH008,557360,Twi_to_English
